0,Date,city,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow,latitude,longitude
7970,28/10/2014,Cobar,11.1,26.6,0.0,11.6,,WSW,37.0,S,WSW,13.0,20.0,29.0,16.0,1018.0,1015.4,5.0,1.0,17.5,24.9,No,0.0,No,-31.462928179493765,145.83279949207966
7971,29/10/2014,Cobar,13.7,29.9,0.0,5.4,,SSW,30.0,SE,WSW,13.0,15.0,34.0,19.0,1018.8,1015.3,0.0,0.0,20.9,28.3,No,0.0,No,-31.462928179493765,145.83279949207966
7972,30/10/2014,Cobar,16.5,34.4,0.0,9.8,,ENE,35.0,NE,ESE,15.0,9.0,21.0,11.0,1016.0,,7.0,3.0,24.4,32.9,No,0.0,No,-31.462928179493765,145.83279949207966
7973,31/10/2014,Cobar,20.7,36.7,0.0,12.6,,NE,57.0,NNE,NNW,26.0,22.0,12.0,6.0,1011.5,1006.0,7.0,7.0,27.7,35.1,No,0.0,No,-31.462928179493765,145.83279949207966
7974,01/11/2014,Cobar,20.1,30.9,0.0,13.4,,WSW,54.0,NW,SW,13.0,28.0,52.0,35.0,1005.0,1007.3,7.0,6.0,23.9,27.0,No,0.0,No,-31.462928179493765,145.83279949207966
7975,02/11/2014,Cobar,10.6,23.7,0.0,12.6,,SE,37.0,SSE,S,20.0,13.0,27.0,14.0,1021.9,1020.3,1.0,1.0,14.1,21.5,No,0.0,No,-31.462928179493765,145.83279949207966
7976,03/11/2014,Cobar,10.8,28.6,0.0,7.6,,E,35.0,ESE,S,24.0,13.0,26.0,12.0,1023.2,1018.6,0.0,2.0,17.9,26.5,No,0.0,No,-31.462928179493765,145.83279949207966
7977,04/11/2014,Cobar,14.2,32.2,0.0,10.8,,NNE,30.0,ENE,NNW,17.0,17.0,22.0,3.0,1018.5,1014.7,7.0,2.0,21.8,30.6,No,0.0,No,-31.462928179493765,145.83279949207966
7978,05/11/2014,Cobar,17.4,32.4,0.0,10.0,,WSW,43.0,SSW,WNW,15.0,20.0,20.0,9.0,1014.7,1011.7,6.0,2.0,22.4,31.5,No,0.0,No,-31.462928179493765,145.83279949207966
7979,06/11/2014,Cobar,13.1,29.8,0.0,14.0,,SW,31.0,SE,S,15.0,17.0,20.0,9.0,1015.7,1012.9,1.0,8.0,20.9,28.6,No,0.0,No,-31.462928179493765,145.83279949207966
7980,07/11/2014,Cobar,16.6,33.2,0.0,11.0,,S,44.0,ESE,SSW,17.0,9.0,12.0,8.0,1017.5,1015.0,8.0,,24.9,32.6,No,0.0,No,-31.462928179493765,145.83279949207966
7981,08/11/2014,Cobar,18.5,36.3,0.0,,,NNE,39.0,NE,WSW,19.0,11.0,20.0,5.0,1017.9,1014.3,,,25.5,34.8,No,0.0,No,-31.462928179493765,145.83279949207966
7982,09/11/2014,Cobar,20.4,38.5,0.0,21.4,,NE,43.0,ESE,SSW,9.0,20.0,28.0,8.0,1016.6,1013.8,4.0,7.0,27.0,36.8,No,0.0,No,-31.462928179493765,145.83279949207966
7983,10/11/2014,Cobar,18.2,32.5,0.0,14.6,,SSW,41.0,S,S,22.0,19.0,20.0,13.0,1017.6,1015.0,0.0,0.0,23.8,31.0,No,0.0,No,-31.462928179493765,145.83279949207966
7984,11/11/2014,Cobar,16.4,33.0,0.0,11.6,,SW,33.0,SSE,SW,15.0,22.0,21.0,3.0,1016.9,1013.2,1.0,0.0,21.2,31.3,No,0.0,No,-31.462928179493765,145.83279949207966
7985,12/11/2014,Cobar,18.7,35.1,0.0,13.8,,E,30.0,ESE,WSW,15.0,11.0,37.0,9.0,1014.8,1011.3,5.0,5.0,24.1,34.0,No,0.0,No,-31.462928179493765,145.83279949207966
7986,13/11/2014,Cobar,19.8,38.3,0.0,11.2,,ESE,28.0,ESE,E,15.0,15.0,9.0,5.0,1013.5,,1.0,1.0,29.9,36.9,No,0.0,No,-31.462928179493765,145.83279949207966
7987,14/11/2014,Cobar,25.0,43.4,0.0,,,SW,50.0,NNE,NW,24.0,19.0,21.0,,1010.4,1006.4,,,31.8,42.7,No,0.0,No,-31.462928179493765,145.83279949207966
7988,15/11/2014,Cobar,28.1,37.0,0.0,16.0,,SW,54.0,SSW,SW,11.0,30.0,26.0,13.0,1008.8,1007.7,7.0,,29.5,35.2,No,2.8,Yes,-31.462928179493765,145.83279949207966
7989,16/11/2014,Cobar,17.0,24.3,2.8,12.2,,WSW,46.0,WSW,SW,31.0,26.0,62.0,35.0,1011.1,1011.0,6.0,,19.3,23.0,Yes,0.0,No,-31.462928179493765,145.83279949207966
7990,17/11/2014,Cobar,11.1,28.0,0.0,8.0,,SW,33.0,SSW,SSW,11.0,13.0,38.0,19.0,1016.7,1014.1,0.0,1.0,19.0,25.8,No,0.0,No,-31.462928179493765,145.83279949207966
7991,18/11/2014,Cobar,14.4,29.9,0.0,10.2,,SSE,31.0,SE,SW,15.0,15.0,27.0,18.0,1018.4,1016.2,5.0,2.0,22.6,27.9,No,0.0,No,-31.462928179493765,145.83279949207966
7992,19/11/2014,Cobar,17.0,33.9,0.0,5.6,,SW,28.0,E,SSW,17.0,13.0,17.0,8.0,1018.1,1013.5,1.0,3.0,25.2,32.6,No,0.0,No,-31.462928179493765,145.83279949207966
7993,20/11/2014,Cobar,19.6,37.9,0.0,8.2,,N,41.0,NE,WNW,19.0,13.0,15.0,5.0,1012.1,1007.5,7.0,7.0,28.7,36.6,No,0.0,No,-31.462928179493765,145.83279949207966
7994,21/11/2014,Cobar,20.3,35.3,0.0,13.0,,W,43.0,SSW,W,13.0,20.0,33.0,17.0,1010.6,1009.0,1.0,,27.4,34.4,No,0.0,No,-31.462928179493765,145.83279949207966
7995,22/11/2014,Cobar,21.7,40.3,0.0,,,W,35.0,NE,W,19.0,17.0,19.0,11.0,1011.6,1009.1,,4.0,31.0,39.3,No,0.0,No,-31.462928179493765,145.83279949207966
7996,23/11/2014,Cobar,27.4,45.2,0.0,25.0,,SSW,59.0,NNE,WSW,17.0,13.0,11.0,7.0,1010.0,1007.3,4.0,6.0,35.2,43.1,No,0.0,No,-31.462928179493765,145.83279949207966
7997,24/11/2014,Cobar,27.8,35.3,0.0,17.8,,NW,48.0,SSW,W,9.0,24.0,28.0,39.0,1010.8,1010.2,7.0,7.0,29.5,29.9,No,0.0,No,-31.462928179493765,145.83279949207966
7998,25/11/2014,Cobar,16.8,28.6,0.0,8.8,,S,46.0,S,SE,17.0,11.0,54.0,10.0,1017.9,1016.3,7.0,5.0,17.8,27.5,No,0.0,No,-31.462928179493765,145.83279949207966
7999,26/11/2014,Cobar,13.7,30.9,0.0,10.0,,SW,37.0,SE,SW,19.0,20.0,23.0,8.0,1018.5,1015.8,1.0,1.0,21.2,29.5,No,0.0,No,-31.462928179493765,145.83279949207966
8000,27/11/2014,Cobar,15.9,32.2,0.0,12.2,,ENE,39.0,SSE,SSE,13.0,17.0,26.0,11.0,1018.6,1015.5,0.0,1.0,23.0,30.6,No,0.0,No,-31.462928179493765,145.83279949207966
8001,28/11/2014,Cobar,19.1,34.1,0.0,,,NE,67.0,ENE,ENE,28.0,11.0,44.0,18.0,1017.1,1013.3,,1.0,24.0,31.8,No,0.0,No,-31.462928179493765,145.83279949207966
8002,29/11/2014,Cobar,23.8,36.6,0.0,25.6,,NNE,46.0,NE,NE,31.0,11.0,41.0,21.0,1013.5,1008.2,4.0,2.0,26.7,33.5,No,0.4,No,-31.462928179493765,145.83279949207966
8003,30/11/2014,Cobar,19.4,34.5,0.4,11.4,,NNE,44.0,NNE,WNW,17.0,15.0,45.0,27.0,1011.0,1008.4,6.0,,26.8,31.4,No,0.2,No,-31.462928179493765,145.83279949207966
8004,01/12/2014,Cobar,20.1,35.3,0.2,9.4,,NNW,39.0,N,N,17.0,19.0,54.0,20.0,1008.9,1006.1,7.0,3.0,25.5,34.1,No,0.2,No,-31.462928179493765,145.83279949207966
8005,02/12/2014,Cobar,22.3,38.7,0.2,12.4,,NNW,65.0,NNW,W,20.0,19.0,41.0,20.0,1009.7,1006.6,6.0,7.0,29.6,36.8,No,3.6,Yes,-31.462928179493765,145.83279949207966
8006,03/12/2014,Cobar,22.8,34.1,3.6,12.2,,SW,52.0,NNE,SW,20.0,28.0,43.0,61.0,1010.4,1010.2,7.0,7.0,29.2,25.7,Yes,5.8,Yes,-31.462928179493765,145.83279949207966
8007,04/12/2014,Cobar,19.8,32.1,5.8,7.4,,NNW,44.0,NE,N,20.0,20.0,74.0,57.0,1011.1,1007.4,7.0,7.0,22.9,29.2,Yes,0.0,No,-31.462928179493765,145.83279949207966
8008,05/12/2014,Cobar,17.5,33.7,0.0,6.2,,SE,56.0,N,NNW,17.0,9.0,64.0,61.0,1007.6,1004.2,7.0,7.0,25.0,32.0,No,17.2,Yes,-31.462928179493765,145.83279949207966
8009,06/12/2014,Cobar,18.1,30.9,17.2,,,SW,56.0,WNW,SSW,2.0,19.0,64.0,71.0,1003.8,1001.2,1.0,2.0,23.2,28.9,Yes,0.0,No,-31.462928179493765,145.83279949207966
8010,07/12/2014,Cobar,16.7,32.6,0.0,11.2,,NW,35.0,ENE,NNW,9.0,17.0,50.0,16.0,1004.2,1002.0,5.0,3.0,23.4,30.9,No,0.0,No,-31.462928179493765,145.83279949207966
8011,08/12/2014,Cobar,18.2,34.8,0.0,10.0,,W,39.0,SW,W,6.0,17.0,28.0,12.0,1007.7,1006.7,1.0,4.0,27.2,33.8,No,0.0,No,-31.462928179493765,145.83279949207966
8012,09/12/2014,Cobar,21.6,38.9,0.0,12.4,,NE,35.0,E,N,17.0,19.0,21.0,9.0,1011.0,1008.0,1.0,4.0,29.7,36.2,No,0.0,No,-31.462928179493765,145.83279949207966
8013,10/12/2014,Cobar,24.3,41.1,0.0,13.0,,S,50.0,NE,WNW,20.0,15.0,38.0,8.0,1008.6,1004.5,1.0,2.0,29.4,39.4,No,0.0,No,-31.462928179493765,145.83279949207966
8014,11/12/2014,Cobar,24.4,30.0,0.0,18.6,,ESE,50.0,SSW,SW,24.0,17.0,35.0,57.0,1008.5,1009.0,4.0,7.0,26.4,23.1,No,0.4,No,-31.462928179493765,145.83279949207966
8015,12/12/2014,Cobar,18.0,30.0,0.4,10.4,,ESE,48.0,ESE,SE,31.0,28.0,41.0,13.0,1013.7,1010.6,1.0,1.0,21.7,28.7,No,0.0,No,-31.462928179493765,145.83279949207966
8016,13/12/2014,Cobar,16.7,30.5,0.0,15.2,,E,52.0,ESE,ESE,30.0,19.0,37.0,17.0,1013.6,1009.9,1.0,1.0,20.5,28.3,No,0.0,No,-31.462928179493765,145.83279949207966
8017,14/12/2014,Cobar,18.9,34.1,0.0,11.2,,NE,33.0,NE,SSW,17.0,15.0,37.0,9.0,1010.7,1007.1,1.0,2.0,23.8,33.0,No,0.0,No,-31.462928179493765,145.83279949207966
8018,15/12/2014,Cobar,21.3,39.1,0.0,12.0,,NNE,37.0,NNE,NNE,22.0,17.0,19.0,8.0,1007.8,1004.9,0.0,4.0,29.6,36.7,No,0.0,No,-31.462928179493765,145.83279949207966
8019,16/12/2014,Cobar,28.5,38.4,0.0,16.4,,WNW,72.0,NNW,WSW,35.0,19.0,13.0,16.0,1001.3,1002.0,6.0,7.0,34.8,32.8,No,0.0,No,-31.462928179493765,145.83279949207966
8020,17/12/2014,Cobar,19.4,33.7,0.0,16.6,,S,43.0,SSE,SW,15.0,15.0,25.0,9.0,1006.3,1003.9,1.0,3.0,21.6,32.3,No,0.0,No,-31.462928179493765,145.83279949207966
8021,18/12/2014,Cobar,19.0,33.8,0.0,12.6,,W,46.0,S,W,7.0,19.0,20.0,8.0,1007.7,1007.1,7.0,3.0,22.1,32.4,No,0.0,No,-31.462928179493765,145.83279949207966
8022,19/12/2014,Cobar,18.5,30.5,0.0,13.6,,WSW,41.0,S,WSW,19.0,20.0,29.0,9.0,1014.3,1012.9,0.0,0.0,21.2,28.9,No,0.0,No,-31.462928179493765,145.83279949207966
8023,20/12/2014,Cobar,15.5,32.6,0.0,13.8,,SE,33.0,ESE,SE,15.0,13.0,19.0,10.0,1016.3,1012.5,0.0,0.0,23.4,30.7,No,0.0,No,-31.462928179493765,145.83279949207966
8024,21/12/2014,Cobar,19.7,37.1,0.0,10.0,,NE,28.0,ENE,SSW,19.0,7.0,30.0,11.0,1013.4,1010.3,1.0,1.0,27.7,35.7,No,0.0,No,-31.462928179493765,145.83279949207966
8025,22/12/2014,Cobar,26.6,38.1,0.0,13.4,,N,67.0,NE,N,28.0,20.0,35.0,15.0,1010.4,1007.3,7.0,7.0,28.9,37.1,No,0.4,No,-31.462928179493765,145.83279949207966
8026,23/12/2014,Cobar,21.0,36.4,0.4,12.2,,ENE,56.0,NE,WSW,20.0,20.0,74.0,41.0,1009.7,1006.8,6.0,7.0,24.1,30.3,No,0.2,No,-31.462928179493765,145.83279949207966
8027,24/12/2014,Cobar,20.0,37.0,0.2,8.6,,NE,48.0,S,SW,9.0,13.0,59.0,23.0,1010.7,1008.6,1.0,5.0,25.4,34.5,No,0.0,No,-31.462928179493765,145.83279949207966
8028,25/12/2014,Cobar,23.1,29.7,0.0,11.4,,NNW,39.0,NNE,WSW,17.0,17.0,61.0,92.0,1008.8,1007.4,5.0,8.0,26.6,22.7,No,5.6,Yes,-31.462928179493765,145.83279949207966
8029,26/12/2014,Cobar,16.2,27.8,5.6,3.0,,S,43.0,SSW,SW,24.0,17.0,48.0,26.0,1013.2,1012.5,1.0,6.0,18.9,25.8,Yes,0.0,No,-31.462928179493765,145.83279949207966
8030,27/12/2014,Cobar,18.0,30.7,0.0,9.6,,WNW,30.0,SE,WSW,13.0,15.0,26.0,17.0,1015.8,1013.5,7.0,6.0,20.2,29.4,No,0.6,No,-31.462928179493765,145.83279949207966
8031,28/12/2014,Cobar,19.4,30.4,0.6,9.6,,NNE,30.0,E,E,9.0,13.0,58.0,38.0,1014.9,1010.8,7.0,7.0,21.2,28.1,No,0.0,No,-31.462928179493765,145.83279949207966
8032,29/12/2014,Cobar,19.8,36.8,0.0,6.0,,WSW,57.0,NNW,NW,19.0,26.0,52.0,13.0,1008.8,1004.1,1.0,4.0,26.8,35.3,No,0.0,No,-31.462928179493765,145.83279949207966
8033,30/12/2014,Cobar,19.2,31.3,0.0,16.8,,S,39.0,S,SSW,19.0,17.0,26.0,15.0,1012.0,1010.1,0.0,0.0,22.5,29.6,No,0.0,No,-31.462928179493765,145.83279949207966
8034,31/12/2014,Cobar,17.3,34.2,0.0,12.6,,SE,28.0,SSE,SSW,15.0,13.0,29.0,19.0,1013.3,1010.5,0.0,0.0,24.4,32.1,No,0.0,No,-31.462928179493765,145.83279949207966
8035,01/01/2015,Cobar,19.8,38.4,0.0,12.6,,NE,26.0,NE,ENE,19.0,9.0,35.0,10.0,1011.3,1008.4,1.0,1.0,29.4,37.3,No,0.0,No,-31.462928179493765,145.83279949207966
8036,02/01/2015,Cobar,24.0,39.7,0.0,15.8,,ENE,61.0,NNE,W,22.0,15.0,25.0,12.0,1012.3,1010.0,1.0,3.0,31.0,37.2,No,0.0,No,-31.462928179493765,145.83279949207966
8037,03/01/2015,Cobar,21.6,36.9,0.0,13.6,,ENE,39.0,NNE,NE,19.0,20.0,44.0,21.0,1016.0,1012.2,0.0,2.0,26.7,35.7,No,0.0,No,-31.462928179493765,145.83279949207966
8038,04/01/2015,Cobar,26.3,37.1,0.0,9.4,,SW,56.0,N,NNE,22.0,15.0,41.0,29.0,1013.5,1010.2,7.0,7.0,30.2,33.7,No,1.0,No,-31.462928179493765,145.83279949207966
8039,05/01/2015,Cobar,20.9,28.1,1.0,11.8,,ESE,39.0,ENE,NE,22.0,22.0,76.0,62.0,1014.2,1014.0,7.0,7.0,22.5,25.6,No,0.0,No,-31.462928179493765,145.83279949207966
8040,06/01/2015,Cobar,21.1,35.6,0.0,4.2,,NE,30.0,E,NNE,17.0,15.0,59.0,32.0,1016.3,1014.4,6.0,7.0,26.2,33.5,No,0.0,No,-31.462928179493765,145.83279949207966
8041,07/01/2015,Cobar,23.6,36.3,0.0,5.2,,NW,52.0,NE,ENE,20.0,19.0,40.0,24.0,1015.5,1012.7,1.0,6.0,28.7,34.3,No,0.2,No,-31.462928179493765,145.83279949207966
8042,08/01/2015,Cobar,24.0,38.1,0.2,9.0,,NW,39.0,N,N,13.0,24.0,26.0,14.0,1012.1,1008.1,1.0,4.0,31.2,35.4,No,0.0,No,-31.462928179493765,145.83279949207966
8043,09/01/2015,Cobar,23.4,37.5,0.0,18.4,,NNW,54.0,NNW,N,26.0,17.0,27.0,18.0,1007.1,1003.7,7.0,8.0,30.8,35.5,No,0.2,No,-31.462928179493765,145.83279949207966
8044,10/01/2015,Cobar,23.9,25.3,0.2,12.0,,E,33.0,SW,SE,13.0,17.0,70.0,90.0,1007.1,1006.8,8.0,8.0,24.6,22.1,No,39.0,Yes,-31.462928179493765,145.83279949207966
8045,11/01/2015,Cobar,20.4,25.2,39.0,1.4,,E,33.0,ENE,ESE,20.0,9.0,96.0,81.0,1008.7,1006.7,8.0,8.0,20.5,24.8,Yes,15.2,Yes,-31.462928179493765,145.83279949207966
8046,12/01/2015,Cobar,20.4,24.7,15.2,1.0,,ENE,33.0,E,E,17.0,20.0,92.0,87.0,1008.7,1007.2,8.0,8.0,22.5,22.9,Yes,1.0,No,-31.462928179493765,145.83279949207966
8047,13/01/2015,Cobar,21.1,29.5,1.0,1.8,,NE,39.0,NE,N,24.0,20.0,82.0,67.0,1004.2,1001.5,7.0,7.0,22.9,28.1,No,2.4,Yes,-31.462928179493765,145.83279949207966
8048,14/01/2015,Cobar,19.3,22.4,2.4,4.2,,SW,46.0,SSW,WSW,13.0,19.0,75.0,70.0,1005.2,1005.5,7.0,7.0,20.9,21.4,Yes,0.0,No,-31.462928179493765,145.83279949207966
8049,15/01/2015,Cobar,15.9,28.1,0.0,4.0,,WSW,37.0,SW,SW,17.0,17.0,72.0,41.0,1008.4,1006.6,0.0,1.0,19.6,26.9,No,0.0,No,-31.462928179493765,145.83279949207966
8050,16/01/2015,Cobar,15.0,30.4,0.0,9.4,,WSW,35.0,SSE,SSW,11.0,15.0,43.0,23.0,1011.0,1009.3,0.0,0.0,21.6,28.0,No,0.0,No,-31.462928179493765,145.83279949207966
8051,17/01/2015,Cobar,18.7,32.5,0.0,8.0,,SW,39.0,WNW,SW,13.0,22.0,32.0,22.0,1010.8,1009.6,0.0,1.0,27.1,31.4,No,0.0,No,-31.462928179493765,145.83279949207966
8052,18/01/2015,Cobar,17.2,32.0,0.0,10.6,,SSW,39.0,SSE,WSW,13.0,20.0,32.0,14.0,1012.8,1010.7,1.0,3.0,24.2,30.4,No,0.0,No,-31.462928179493765,145.83279949207966
8053,19/01/2015,Cobar,16.5,31.6,0.0,11.6,,SSW,30.0,SE,SW,11.0,15.0,33.0,13.0,1010.6,1007.8,6.0,6.0,22.7,29.9,No,0.0,No,-31.462928179493765,145.83279949207966
8054,20/01/2015,Cobar,19.2,33.1,0.0,10.2,,ENE,39.0,ENE,N,26.0,15.0,57.0,19.0,1006.1,1002.1,1.0,8.0,23.3,33.0,No,0.0,No,-31.462928179493765,145.83279949207966
8055,21/01/2015,Cobar,23.3,31.9,0.0,8.8,,NE,43.0,ENE,ENE,24.0,30.0,54.0,31.0,1004.7,1003.6,7.0,2.0,24.3,31.6,No,0.0,No,-31.462928179493765,145.83279949207966
8056,22/01/2015,Cobar,22.0,33.6,0.0,11.4,,ENE,37.0,ENE,ENE,22.0,17.0,61.0,32.0,1009.5,1006.5,1.0,6.0,25.1,31.4,No,0.0,No,-31.462928179493765,145.83279949207966
8057,23/01/2015,Cobar,23.3,35.6,0.0,10.6,,W,39.0,NW,W,17.0,7.0,43.0,27.0,1007.3,1003.9,3.0,7.0,29.4,34.1,No,0.0,No,-31.462928179493765,145.83279949207966
8058,24/01/2015,Cobar,24.2,36.3,0.0,9.6,,NW,50.0,N,WSW,19.0,13.0,53.0,29.0,1005.8,1002.0,3.0,6.0,27.0,34.3,No,1.8,Yes,-31.462928179493765,145.83279949207966
8059,25/01/2015,Cobar,20.3,32.7,1.8,12.0,,W,39.0,SSW,SW,20.0,15.0,42.0,26.0,1006.3,1005.2,,,22.9,30.9,Yes,0.0,No,-31.462928179493765,145.83279949207966
8060,26/01/2015,Cobar,17.1,30.2,0.0,10.8,,S,41.0,SSE,SSW,17.0,24.0,23.0,14.0,1010.7,1008.2,1.0,4.0,21.0,29.7,No,0.0,No,-31.462928179493765,145.83279949207966
8061,27/01/2015,Cobar,16.0,31.7,0.0,11.6,,SW,43.0,S,SW,17.0,22.0,36.0,13.0,1008.5,1005.0,1.0,1.0,20.7,30.5,No,0.0,No,-31.462928179493765,145.83279949207966
8062,28/01/2015,Cobar,18.0,30.9,0.0,10.8,,SE,59.0,ESE,SE,17.0,20.0,63.0,32.0,1008.6,1006.8,1.0,5.0,21.0,29.4,No,0.6,No,-31.462928179493765,145.83279949207966
8063,29/01/2015,Cobar,16.6,30.5,0.6,10.2,,SSW,31.0,ENE,SSW,17.0,20.0,53.0,24.0,1012.0,1009.2,1.0,5.0,20.5,28.5,No,0.0,No,-31.462928179493765,145.83279949207966
8064,30/01/2015,Cobar,17.0,30.5,0.0,10.6,,WSW,41.0,SSE,W,7.0,17.0,31.0,12.0,1009.7,1006.5,1.0,1.0,22.7,29.1,No,0.0,No,-31.462928179493765,145.83279949207966
8065,31/01/2015,Cobar,14.0,29.8,0.0,11.2,,SSW,43.0,S,SSW,11.0,26.0,28.0,16.0,1009.4,1007.2,0.0,1.0,20.8,27.6,No,0.0,No,-31.462928179493765,145.83279949207966
8066,01/02/2015,Cobar,15.9,30.9,0.0,10.2,,WSW,37.0,S,WSW,7.0,20.0,32.0,15.0,1008.7,1006.7,1.0,2.0,22.4,29.5,No,0.0,No,-31.462928179493765,145.83279949207966
8067,02/02/2015,Cobar,16.1,30.8,0.0,12.6,,SE,52.0,S,SW,17.0,13.0,40.0,35.0,1010.7,1008.7,1.0,3.0,21.3,29.2,No,8.2,Yes,-31.462928179493765,145.83279949207966
8068,03/02/2015,Cobar,18.8,31.3,8.2,8.6,,ESE,35.0,E,SSE,22.0,13.0,56.0,24.0,1016.8,1013.6,1.0,2.0,21.2,29.4,Yes,0.0,No,-31.462928179493765,145.83279949207966
8069,04/02/2015,Cobar,18.3,33.5,0.0,5.8,,SSW,31.0,ENE,NW,11.0,7.0,22.0,18.0,1012.9,1010.2,1.0,1.0,25.3,32.3,No,0.0,No,-31.462928179493765,145.83279949207966
8070,05/02/2015,Cobar,20.5,34.0,0.0,14.4,,ENE,46.0,ENE,NE,31.0,20.0,40.0,21.0,1016.4,1016.0,1.0,4.0,24.0,32.3,No,0.0,No,-31.462928179493765,145.83279949207966
8071,06/02/2015,Cobar,21.0,33.6,0.0,9.4,,ENE,43.0,ENE,ENE,26.0,17.0,47.0,22.0,1022.6,1019.6,1.0,2.0,23.8,32.1,No,0.0,No,-31.462928179493765,145.83279949207966
8072,07/02/2015,Cobar,20.5,35.1,0.0,14.2,,ENE,33.0,ENE,ESE,22.0,13.0,40.0,17.0,1021.3,1017.8,0.0,1.0,24.0,33.4,No,0.0,No,-31.462928179493765,145.83279949207966
8073,08/02/2015,Cobar,22.6,39.5,0.0,10.8,,WSW,33.0,N,SSW,15.0,11.0,27.0,13.0,1018.9,1016.4,0.0,2.0,28.7,37.7,No,0.0,No,-31.462928179493765,145.83279949207966
8074,09/02/2015,Cobar,24.3,40.3,0.0,10.0,,W,35.0,SSE,WSW,9.0,11.0,24.0,11.0,1017.1,1014.9,0.0,1.0,29.0,38.8,No,0.0,No,-31.462928179493765,145.83279949207966
8075,10/02/2015,Cobar,25.5,37.8,0.0,14.6,,NE,56.0,NE,NNE,30.0,19.0,29.0,20.0,1017.3,1015.3,0.0,1.0,29.8,36.5,No,0.0,No,-31.462928179493765,145.83279949207966
8076,11/02/2015,Cobar,26.1,36.1,0.0,16.4,,NE,35.0,NE,NNW,20.0,9.0,42.0,26.0,1018.6,1015.8,5.0,3.0,26.7,34.3,No,0.0,No,-31.462928179493765,145.83279949207966
8077,12/02/2015,Cobar,23.1,35.1,0.0,6.4,,E,44.0,SSE,SSE,9.0,17.0,54.0,25.0,1018.8,1015.4,5.0,7.0,24.8,33.2,No,0.0,No,-31.462928179493765,145.83279949207966
8078,13/02/2015,Cobar,20.9,35.6,0.0,11.6,,ENE,37.0,ENE,ENE,17.0,13.0,56.0,25.0,1018.7,1015.7,1.0,3.0,25.0,33.4,No,0.0,No,-31.462928179493765,145.83279949207966
8079,14/02/2015,Cobar,22.3,36.6,0.0,12.0,,SSW,57.0,NE,N,20.0,11.0,48.0,24.0,1019.1,1015.7,7.0,3.0,26.1,34.8,No,0.2,No,-31.462928179493765,145.83279949207966
8080,15/02/2015,Cobar,20.6,39.3,0.2,9.4,,WSW,37.0,N,WSW,17.0,13.0,47.0,17.0,1014.6,1011.1,0.0,2.0,26.7,37.2,No,0.0,No,-31.462928179493765,145.83279949207966
8081,16/02/2015,Cobar,24.0,39.3,0.0,12.6,,SW,57.0,NE,S,17.0,20.0,38.0,13.0,1012.5,1010.6,3.0,5.0,27.4,38.2,No,0.2,No,-31.462928179493765,145.83279949207966
8082,17/02/2015,Cobar,22.4,34.3,0.2,9.8,,WSW,57.0,ENE,WSW,13.0,24.0,40.0,27.0,1013.1,1012.1,7.0,7.0,27.2,32.9,No,6.2,Yes,-31.462928179493765,145.83279949207966
8083,18/02/2015,Cobar,20.7,31.5,6.2,8.6,,E,31.0,ENE,SSE,15.0,9.0,65.0,32.0,1014.8,1013.4,7.0,7.0,23.5,30.8,Yes,0.0,No,-31.462928179493765,145.83279949207966
8084,19/02/2015,Cobar,21.9,32.3,0.0,5.2,,ENE,67.0,NE,WNW,19.0,6.0,47.0,36.0,1015.5,1013.4,6.0,7.0,24.8,31.7,No,0.4,No,-31.462928179493765,145.83279949207966
8085,20/02/2015,Cobar,22.0,31.5,0.4,10.6,,WNW,37.0,E,SE,17.0,6.0,65.0,40.0,1013.4,1011.3,8.0,8.0,23.6,31.0,No,1.8,Yes,-31.462928179493765,145.83279949207966
8086,21/02/2015,Cobar,21.3,34.5,1.8,4.4,,S,30.0,E,SE,13.0,7.0,66.0,34.0,1011.8,1008.9,1.0,3.0,24.3,33.2,Yes,0.0,No,-31.462928179493765,145.83279949207966
8087,22/02/2015,Cobar,22.5,36.2,0.0,7.4,,E,31.0,ENE,WNW,22.0,7.0,56.0,27.0,1012.0,1010.2,1.0,4.0,25.7,35.5,No,0.0,No,-31.462928179493765,145.83279949207966
8088,23/02/2015,Cobar,24.5,37.9,0.0,9.8,,SW,61.0,ENE,SE,20.0,15.0,52.0,21.0,1012.0,1009.0,1.0,5.0,27.2,36.6,No,0.0,No,-31.462928179493765,145.83279949207966
8089,24/02/2015,Cobar,24.6,37.9,0.0,11.2,,S,48.0,E,SSE,20.0,9.0,47.0,23.0,1011.2,1009.2,0.0,3.0,27.4,36.5,No,0.0,No,-31.462928179493765,145.83279949207966
8090,25/02/2015,Cobar,22.6,36.2,0.0,9.6,,WSW,41.0,E,SSW,17.0,19.0,54.0,30.0,1010.9,1007.7,1.0,4.0,25.9,33.2,No,0.0,No,-31.462928179493765,145.83279949207966
8091,26/02/2015,Cobar,18.3,34.0,0.0,12.4,,SSW,37.0,ESE,SW,9.0,20.0,61.0,9.0,1007.5,1005.2,7.0,1.0,23.9,32.5,No,0.0,No,-31.462928179493765,145.83279949207966
